Dex No.,Name,Generation,Primary Type,Secondary Type,Health,Attack,Defense,Sp. Attack,Sp. Defense,Speed,BST,Catch Rate,Ability 1,Ability 2,Hidden Ability,Male Ratio,Female Ratio,Height,Weight,Egg Group 1,Egg Group 2,Sword Dens,Sheild Dens,Moonstone Evo?,-
#289,Slaking,Generation III,Normal,Unknown,150,160,100,95,65,100,670,45,Truant,Unknown,Unknown,50,50,2,130.5,Field,Unknown,Unknown,Unknown,0,
#290,Nincada,Generation III,Bug,Ground,31,45,90,30,30,40,266,255,Compound Eyes,Unknown,Run Away,50,50,0.5,5.5,Bug,Unknown,"4, 16","4, 16",0,
#291,Ninjask,Generation III,Bug,Flying,61,90,45,50,50,160,456,120,Speed Boost,Unknown,Infiltrator,50,50,0.8,12,Bug,Unknown,"4, 149","4, 149",0,
#292,Shedinja,Generation III,Bug,Ghost,1,90,45,30,30,40,236,45,Wonder Guard,Unknown,Unknown,0,0,0.8,1.2,Mineral,Unknown,46,46,0,
#293,Whismur,Generation III,Normal,Unknown,64,51,23,51,23,28,240,190,Soundproof,Unknown,Rattled,50,50,0.6,16.3,Monster,Field,"101, 102","101, 102",0,
#294,Loudred,Generation III,Normal,Unknown,84,71,43,71,43,48,360,120,Soundproof,Unknown,Scrappy,50,50,1,40.5,Monster,Field,101,101,0,
#295,Exploud,Generation III,Normal,Unknown,104,91,63,91,63,68,480,45,Soundproof,Unknown,Scrappy,50,50,1.5,84,Monster,Field,"101, 102","101, 102",0,
#296,Makuhita,Generation III,Fighting,Unknown,72,60,30,20,30,25,237,180,Thick Fat,Guts,Sheer Force,75,25,1,86.4,HumanUndiscoveredLike,Unknown,Unknown,Unknown,0,
#297,Hariyama,Generation III,Fighting,Unknown,144,120,60,40,60,50,474,200,Thick Fat,Guts,Sheer Force,75,25,2.3,253.8,HumanUndiscoveredLike,Unknown,Unknown,Unknown,0,
#298,Azurill,Generation III,Normal,Fairy,50,20,40,20,40,20,190,150,Thick Fat,Huge Power,Sap Sipper,25,75,0.2,2,Undiscovered,Unknown,125,125,0,
#299,Nosepass,Generation III,Rock,Unknown,30,45,135,45,90,30,375,255,Sturdy,Magnet Pull,Sand Force,50,50,1,97,Mineral,Unknown,Unknown,Unknown,0,
#300,Skitty,Generation III,Normal,Unknown,50,45,45,35,35,50,260,255,Cute Charm,Normalize,Wonder Skin,25,75,0.6,11,Field,Fairy,Unknown,Unknown,1,
#301,Delcatty,Generation III,Normal,Unknown,70,65,65,55,55,70,380,60,Cute Charm,Normalize,Wonder Skin,25,75,1.1,32.6,Field,Fairy,Unknown,Unknown,0,
#302,Sableye,Generation III,Dark,Ghost,50,75,75,65,65,50,380,45,Keen Eye,Stall,Prankster,50,50,0.5,11,HumanUndiscoveredLike,Unknown,Unknown,"35, 43, 47, 81",0,
#303,Mawile,Generation III,Steel,Fairy,50,85,85,55,55,50,380,45,Hyper Cutter,Intimidate,Sheer Force,50,50,0.6,11.5,Field,Fairy,"12, 34, 62, 82",Unknown,0,
#304,Aron,Generation III,Steel,Rock,50,70,100,40,40,30,330,180,Sturdy,Rock Head,Heavy Metal,50,50,0.4,60,Monster,Unknown,Unknown,Unknown,0,
#305,Lairon,Generation III,Steel,Rock,60,90,140,50,50,40,430,90,Sturdy,Rock Head,Heavy Metal,50,50,0.9,120,Monster,Unknown,Unknown,Unknown,0,
#306,Aggron,Generation III,Steel,Rock,70,110,180,60,60,50,530,45,Sturdy,Rock Head,Heavy Metal,50,50,2.1,360,Monster,Unknown,Unknown,Unknown,0,
#307,Meditite,Generation III,Fighting,Psychic,30,40,55,40,55,60,280,180,Pure Power,Unknown,Telepathy,50,50,0.6,11.2,HumanUndiscoveredLike,Unknown,Unknown,Unknown,0,
#308,Medicham,Generation III,Fighting,Psychic,60,60,75,60,75,80,410,90,Pure Power,Unknown,Telepathy,50,50,1.3,31.5,HumanUndiscoveredLike,Unknown,Unknown,Unknown,0,
#309,Electrike,Generation III,Electric,Unknown,40,45,40,65,40,65,295,120,Static,Lightning Rod,Minus,50,50,0.6,15.2,Field,Unknown,"24, 57","24, 57",0,
#310,Manectric,Generation III,Electric,Unknown,70,75,60,105,60,105,475,45,Static,Lightning Rod,Minus,50,50,1.5,40.2,Field,Unknown,"24, 106","24, 106",0,
#311,Plusle,Generation III,Electric,Unknown,60,50,40,85,75,95,405,200,Plus,Unknown,Lightning Rod,50,50,0.4,4.2,Fairy,Unknown,Unknown,Unknown,0,
#312,Minun,Generation III,Electric,Unknown,60,40,50,75,85,95,405,200,Minus,Unknown,Volt Absorb,50,50,0.4,4.2,Fairy,Unknown,Unknown,Unknown,0,
#313,Volbeat,Generation III,Bug,Unknown,65,73,55,47,75,85,400,150,Illuminate,Swarm,Prankster,100,0,0.7,17.7,Bug,HumanUndiscoveredLike,Unknown,Unknown,0,
#314,Illumise,Generation III,Bug,Unknown,65,47,55,73,75,85,400,150,Oblivious,Tinted Lens,Prankster,0,100,0.6,17.7,Bug,HumanUndiscoveredLike,Unknown,Unknown,0,
#315,Roselia,Generation III,Grass,Poison,50,60,45,100,80,65,400,150,Natural Cure,Poison Point,Leaf Guard,50,50,0.3,2,Fairy,Grass,"26, 27, 28, 29, 30, 58, 79, 145","26, 27, 28, 29, 30, 58, 79, 145",0,
#316,Gulpin,Generation III,Poison,Unknown,70,43,53,43,53,40,302,225,Liquid Ooze,Sticky Hold,Gluttony,50,50,0.4,10.3,Amorphous,Unknown,Unknown,Unknown,0,
#317,Swalot,Generation III,Poison,Unknown,100,73,83,73,83,55,467,75,Liquid Ooze,Sticky Hold,Gluttony,50,50,1.7,80,Amorphous,Unknown,Unknown,Unknown,0,
#318,Carvanha,Generation III,Water,Dark,45,90,20,65,20,65,305,225,Rough Skin,Unknown,Speed Boost,50,50,0.8,20.8,Water 2,Unknown,"121, 122","121, 122",0,
#319,Sharpedo,Generation III,Water,Dark,70,120,40,95,40,95,460,60,Rough Skin,Unknown,Speed Boost,50,50,1.8,88.8,Water 2,Unknown,"121, 122, 139, 140","121, 122, 139, 140",0,
#320,Wailmer,Generation III,Water,Unknown,130,70,35,70,35,60,400,125,Water Veil,Oblivious,Pressure,50,50,2,130,Field,Water 2,"7, 8, 76, 139, 140","7, 8, 76, 139, 140",0,
#321,Wailord,Generation III,Water,Unknown,170,90,45,90,45,60,500,60,Water Veil,Oblivious,Pressure,50,50,14.5,398,Field,Water 2,"7, 8, 76, 139","7, 8, 76, 139",0,
#322,Numel,Generation III,Fire,Ground,60,60,40,65,45,35,305,255,Oblivious,Simple,Own Tempo,50,50,0.7,24,Field,Unknown,Unknown,Unknown,0,
#323,Camerupt,Generation III,Fire,Ground,70,100,70,105,75,40,460,150,Magma Armor,Solid Rock,Anger Point,50,50,1.9,220,Field,Unknown,Unknown,Unknown,0,
#324,Torkoal,Generation III,Fire,Unknown,70,85,140,85,70,20,470,90,White Smoke,Drought,Shell Armor,50,50,0.5,80.4,Field,Unknown,"18, 19, 20, 53, 54, 71, 77, 80, 113, 114","18, 19, 20, 53, 54, 71, 77, 80, 113, 114",0,
#325,Spoink,Generation III,Psychic,Unknown,60,25,35,70,80,60,330,255,Thick Fat,Own Tempo,Gluttony,50,50,0.7,30.6,Field,Unknown,Unknown,Unknown,0,
#326,Grumpig,Generation III,Psychic,Unknown,80,45,65,90,110,80,470,60,Thick Fat,Own Tempo,Gluttony,50,50,0.9,71.5,Field,Unknown,Unknown,Unknown,0,
#327,Spinda,Generation III,Normal,Unknown,60,60,60,60,60,60,360,255,Own Tempo,Tangled Feet,Contrary,50,50,1.1,5,Field,HumanUndiscoveredLike,Unknown,Unknown,0,
#328,Trapinch,Generation III,Ground,Unknown,45,100,45,45,45,10,290,255,Hyper Cutter,Arena Trap,Sheer Force,50,50,0.7,15,Bug,Unknown,"17, 37, 64, 104","17, 37, 64, 104",0,
#329,Vibrava,Generation III,Ground,Dragon,50,70,50,50,50,70,340,120,Levitate,Unknown,Unknown,50,50,1.1,15.3,Bug,Unknown,"17, 37","17, 37, 64",0,
#330,Flygon,Generation III,Ground,Dragon,80,100,80,80,80,100,520,45,Levitate,Unknown,Unknown,50,50,2,82,Bug,Unknown,"17, 37, 104","17, 37, 64, 104",0,
#331,Cacnea,Generation III,Grass,Unknown,50,85,40,85,40,35,335,190,Sand Veil,Unknown,Water Absorb,50,50,0.4,51.3,Grass,HumanUndiscoveredLike,Unknown,Unknown,0,
#332,Cacturne,Generation III,Grass,Dark,70,115,60,115,60,55,475,60,Sand Veil,Unknown,Water Absorb,50,50,1.3,77.4,Grass,HumanUndiscoveredLike,Unknown,Unknown,0,
#333,Swablu,Generation III,Normal,Flying,45,40,60,40,75,50,310,255,Natural Cure,Unknown,Cloud Nine,50,50,0.4,1.2,Flying,Dragon,Unknown,Unknown,0,
#334,Altaria,Generation III,Dragon,Flying,75,70,90,70,105,80,490,45,Natural Cure,Unknown,Cloud Nine,50,50,1.1,20.6,Flying,Dragon,Unknown,Unknown,0,
#335,Zangoose,Generation III,Normal,Unknown,73,115,60,60,60,90,458,90,Immunity,Unknown,Toxic Boost,50,50,1.3,40.3,Field,Unknown,Unknown,Unknown,0,
#336,Seviper,Generation III,Poison,Unknown,73,100,60,100,60,65,458,90,Shed Skin,Unknown,Infiltrator,50,50,2.7,52.5,Field,Dragon,Unknown,Unknown,0,
#337,Lunatone,Generation III,Rock,Psychic,70,55,65,95,85,70,440,45,Levitate,Unknown,Unknown,0,0,1,168,Mineral,Unknown,Unknown,2,0,
#338,Solrock,Generation III,Rock,Psychic,70,95,85,55,65,70,440,45,Levitate,Unknown,Unknown,0,0,1.2,154,Mineral,Unknown,2,Unknown,0,
#339,Barboach,Generation III,Water,Ground,50,48,43,46,41,60,288,190,Oblivious,Anticipation,Hydration,50,50,0.4,1.9,Water 2,Unknown,"16, 52, 75, 93, 135, 148","16, 52, 75, 93, 135, 148",0,
#340,Whiscash,Generation III,Water,Ground,110,78,73,76,71,60,468,75,Oblivious,Anticipation,Hydration,50,50,0.9,23.6,Water 2,Unknown,"16, 75, 135, 136, 148","16, 75, 135, 136, 148",0,
#341,Corphish,Generation III,Water,Unknown,43,80,65,50,35,35,308,205,Hyper Cutter,Shell Armor,Adaptability,50,50,0.6,11.5,Water 1,Water 3,"9, 42, 67, 91, 134","9, 42, 67, 91, 134",0,
#342,Crawdaunt,Generation III,Water,Dark,63,120,85,90,55,55,468,155,Hyper Cutter,Shell Armor,Adaptability,50,50,1.1,32.8,Water 1,Water 3,"9, 35, 42, 67, 91, 133, 134","9, 35, 42, 67, 91, 133, 134",0,
#343,Baltoy,Generation III,Ground,Psychic,40,40,55,40,70,55,300,255,Levitate,Unknown,Unknown,0,0,0.5,21.5,Mineral,Unknown,14,14,0,
#344,Claydol,Generation III,Ground,Psychic,60,70,105,70,120,75,500,90,Levitate,Unknown,Unknown,0,0,1.5,108,Mineral,Unknown,14,14,0,
#345,Lileep,Generation III,Rock,Grass,66,41,77,61,87,23,355,45,Suction Cups,Unknown,Storm Drain,87.5,12.5,1,23.8,Water 3,Unknown,Unknown,Unknown,0,
#346,Cradily,Generation III,Rock,Grass,86,81,97,81,107,43,495,45,Suction Cups,Unknown,Storm Drain,87.5,12.5,1.5,60.4,Water 3,Unknown,Unknown,Unknown,0,
#347,Anorith,Generation III,Rock,Bug,45,95,50,40,50,75,355,45,Battle Armor,Unknown,Swift Swim,87.5,12.5,0.7,12.5,Water 3,Unknown,Unknown,Unknown,0,
#348,Armaldo,Generation III,Rock,Bug,75,125,100,70,80,45,495,45,Battle Armor,Unknown,Swift Swim,87.5,12.5,1.5,68.2,Water 3,Unknown,Unknown,Unknown,0,
#349,Feebas,Generation III,Water,Unknown,20,15,20,10,55,80,200,255,Swift Swim,Oblivious,Adaptability,50,50,0.6,7.4,Water 1,Dragon,44,44,0,
#350,Milotic,Generation III,Water,Unknown,95,60,79,100,125,81,540,60,Marvel Scale,Competitive,Cute Charm,50,50,6.2,162,Water 1,Dragon,44,44,0,
#351,Castform,Generation III,Normal,Unknown,70,70,70,70,70,70,420,45,Forecase,Unknown,Unknown,50,50,0.3,0.8,Fairy,Amorphous,Unknown,Unknown,0,
#352,Kecleon,Generation III,Normal,Unknown,60,90,70,60,120,40,440,200,Color Change,Unknown,Protean,50,50,1,22,Field,Unknown,Unknown,Unknown,0,
#353,Shuppet,Generation III,Ghost,Unknown,44,75,35,63,33,45,295,225,Insomnia,Frisk,Cursed Body,50,50,0.6,2.3,Amorphous,Unknown,Unknown,Unknown,0,
#354,Banette,Generation III,Ghost,Unknown,64,115,65,83,63,65,455,45,Insomnia,Frisk,Cursed Body,50,50,1.1,12.5,Amorphous,Unknown,Unknown,Unknown,0,
#355,Duskull,Generation III,Ghost,Unknown,20,40,90,30,90,25,295,190,Levitate,Unknown,Frisk,50,50,0.8,15,Amorphous,Unknown,"6, 43","6, 43",0,
#356,Dusclops,Generation III,Ghost,Unknown,40,70,130,60,130,25,455,90,Pressure,Unknown,Frisk,50,50,1.6,30.6,Amorphous,Unknown,"6, 43","6, 43",0,
#357,Tropius,Generation III,Grass,Flying,99,68,83,72,87,51,460,200,Chlorophyll,Solar Power,Harvest,50,50,2,100,Monster,Grass,Unknown,Unknown,0,
#358,Chimecho,Generation III,Psychic,Unknown,65,50,70,95,80,65,425,45,Levitate,Unknown,Unknown,50,50,0.6,1,Amorphous,Unknown,Unknown,Unknown,0,
#359,Absol,Generation III,Dark,Unknown,65,130,60,75,60,75,465,30,Pressure,Super Luck,Justified,50,50,1.2,47,Field,Unknown,Unknown,Unknown,0,
#360,Wynaut,Generation III,Psychic,Unknown,95,23,48,23,48,23,260,125,Shadow Tag,Unknown,Telepathy,50,50,0.6,14,Undiscovered,Unknown,14,14,0,
#361,Snorunt,Generation III,Ice,Unknown,50,50,50,50,50,50,300,190,Inner Focus,Ice Body,Moody,50,50,0.7,16.8,Fairy,Mineral,"23, 55, 73","23, 55, 73, 83",0,
#362,Glalie,Generation III,Ice,Unknown,80,80,80,80,80,80,480,75,Inner Focus,Ice Body,Moody,50,50,1.5,256.5,Fairy,Mineral,"23, 55","23, 55, 83",0,
#363,Spheal,Generation III,Ice,Water,70,40,50,55,50,25,290,255,Thick Fat,Ice Body,Oblivious,50,50,0.8,39.5,Water 1,Field,Unknown,Unknown,0,
#364,Sealeo,Generation III,Ice,Water,90,60,70,75,70,45,410,120,Thick Fat,Ice Body,Oblivious,50,50,1.1,87.6,Water 1,Field,Unknown,Unknown,0,
#365,Walrein,Generation III,Ice,Water,110,80,90,95,90,65,530,45,Thick Fat,Ice Body,Oblivious,50,50,1.4,150.6,Water 1,Field,Unknown,Unknown,0,
#366,Clamperl,Generation III,Water,Unknown,35,64,85,74,55,32,345,255,Shell Armor,Unknown,Rattled,50,50,0.4,52.5,Water 1,Unknown,Unknown,Unknown,0,
#367,Huntail,Generation III,Water,Unknown,55,104,105,94,75,52,485,60,Swift Swim,Unknown,Water Veil,50,50,1.7,27,Water 1,Unknown,Unknown,Unknown,0,
#368,Gorebyss,Generation III,Water,Unknown,55,84,105,114,75,52,485,60,Swift Swim,Unknown,Hydration,50,50,1.8,22.6,Water 1,Unknown,Unknown,Unknown,0,
#369,Relicanth,Generation III,Water,Rock,100,90,130,45,65,55,485,25,Swift Swim,Rock Head,Sturdy,,,1,23.4,Water 1,Water 2,Unknown,Unknown,0,
#370,Luvdisc,Generation III,Water,Unknown,43,30,55,40,65,97,330,255,Swift Swim,Unknown,Hydration,25,75,0.6,8.7,Water 2,Unknown,Unknown,Unknown,0,
#371,Bagon,Generation III,Dragon,Unknown,45,75,60,40,30,50,300,45,Rock Head,Unknown,Sheer Force,50,50,0.6,42.1,Dragon,Unknown,Unknown,Unknown,0,
#372,Shelgon,Generation III,Dragon,Unknown,65,95,100,60,50,50,420,45,Rock Head,Unknown,Overcoat,50,50,1.1,110.5,Dragon,Unknown,Unknown,Unknown,0,
#373,Salamence,Generation III,Dragon,Flying,95,135,80,110,80,100,600,45,Intimidate,Unknown,Moxie,50,50,1.5,102.6,Dragon,Unknown,Unknown,Unknown,0,
#374,Beldum,Generation III,Steel,Psychic,40,55,80,35,60,30,300,3,Clear Body,Unknown,Light Metal,0,0,0.6,95.2,Mineral,Unknown,Unknown,Unknown,0,
#375,Metang,Generation III,Steel,Psychic,60,75,100,55,80,50,420,3,Clear Body,Unknown,Light Metal,0,0,1.2,202.5,Mineral,Unknown,Unknown,Unknown,0,
#376,Metagross,Generation III,Steel,Psychic,80,135,130,95,90,70,600,3,Clear Body,Unknown,Light Metal,0,0,1.6,550,Mineral,Unknown,Unknown,Unknown,0,
#377,Regirock,Generation III,Rock,Unknown,80,100,200,50,100,50,580,3,Clear Body,Unknown,Sturdy,0,0,1.7,230,Undiscovered,Unknown,Unknown,Unknown,0,
#378,Regice,Generation III,Ice,Unknown,80,50,100,100,200,50,580,3,Clear Body,Unknown,Ice Body,0,0,1.8,175,Undiscovered,Unknown,Unknown,Unknown,0,
#379,Registeel,Generation III,Steel,Unknown,80,75,150,75,150,50,580,3,Clear Body,Unknown,Light Metal,0,0,1.9,205,Undiscovered,Unknown,Unknown,Unknown,0,
#380,Latias,Generation III,Dragon,Psychic,80,80,90,110,130,110,600,3,Levitate,Unknown,Unknown,0,100,1.4,40,Undiscovered,Unknown,Unknown,Unknown,0,
#381,Latios,Generation III,Dragon,Psychic,80,90,80,130,110,110,600,3,Levitate,Unknown,Unknown,100,0,2,60,Undiscovered,Unknown,Unknown,Unknown,0,
#382,Kyogre,Generation III,Water,Unknown,100,100,90,150,140,90,670,3,Drizzle,Unknown,Unknown,0,0,4.5,352,Undiscovered,Unknown,Unknown,Unknown,0,
#382,Kyogreprimal,Generation III,Water,Unknown,100,150,90,180,160,90,770,3,Primoridal Sea,Unknown,Unknown,0,0,9.8,430,Undiscovered,Unknown,Unknown,Unknown,0,
#383,Groudon,Generation III,Ground,Unknown,100,150,140,100,90,90,670,3,Drought,Unknown,Unknown,0,0,3.5,950,Undiscovered,Unknown,Unknown,Unknown,0,
#383,Groudonprimal,Generation III,Ground,Fire,100,180,160,150,90,90,770,3,Desolate Land,Unknown,Unknown,0,0,5,999.7,Undiscovered,Unknown,Unknown,Unknown,0,
#384,Rayquaza,Generation III,Dragon,Flying,105,150,90,150,90,95,680,45,Air Lock,Unknown,Unknown,0,0,7,206.5,Undiscovered,Unknown,Unknown,Unknown,0,
#385,Jirachi,Generation III,Steel,Psychic,100,100,100,100,100,100,600,3,Serene Grace,Unknown,Unknown,0,0,0.3,1.1,Undiscovered,Unknown,Unknown,Unknown,0,
#386,Deoxys,Generation III,Psychic,Unknown,50,150,50,150,50,150,600,3,Pressure,Unknown,Unknown,0,0,1.7,60.8,Undiscovered,Unknown,Unknown,Unknown,0,
#386,Adeoxys,Generation III,Psychic,Unknown,50,180,20,180,20,150,600,3,Pressure,Unknown,Unknown,0,0,1.7,60.8,Undiscovered,Unknown,Unknown,Unknown,0,
#386,Ddeoxys,Generation III,Psychic,Unknown,50,70,160,70,160,90,600,3,Pressure,Unknown,Unknown,0,0,1.7,60.8,Undiscovered,Unknown,Unknown,Unknown,0,
#386,Sdeoxys,Generation III,Psychic,Unknown,50,95,90,95,90,180,600,3,Pressure,Unknown,Unknown,0,0,1.7,60.8,Undiscovered,Unknown,Unknown,Unknown,0,
#387,Turtwig,Generation IV,Grass,Unknown,55,68,64,45,55,31,318,45,Overgrow,Unknown,Shell Armor,87.5,12.5,0.4,10.2,Monster,Grass,Unknown,Unknown,0,
#388,Grotle,Generation IV,Grass,Unknown,75,89,85,55,65,36,405,45,Overgrow,Unknown,Shell Armor,87.5,12.5,1.1,97,Monster,Grass,Unknown,Unknown,0,
#389,Torterra,Generation IV,Grass,Ground,95,109,105,75,85,56,525,45,Overgrow,Unknown,Shell Armor,87.5,12.5,2.2,310,Monster,Grass,Unknown,Unknown,0,
#390,Chimchar,Generation IV,Fire,Unknown,44,58,44,58,44,61,309,45,Blaze,Unknown,Iron Fist,87.5,12.5,0.5,6.2,Field,HumanUndiscoveredLike,Unknown,Unknown,0,
#391,Monferno,Generation IV,Fire,Fighting,64,78,52,78,52,81,405,45,Blaze,Unknown,Iron Fist,87.5,12.5,0.9,22,Field,HumanUndiscoveredLike,Unknown,Unknown,0,
#392,Infernape,Generation IV,Fire,Fighting,76,104,71,104,71,108,534,45,Blaze,Unknown,Iron Fist,87.5,12.5,1.2,55,Field,HumanUndiscoveredLike,Unknown,Unknown,0,
#393,Piplup,Generation IV,Water,Unknown,53,51,53,61,56,40,314,45,Torrent,Unknown,Defiant,87.5,12.5,0.4,5.2,Water 1,Field,Unknown,Unknown,0,
#394,Prinplup,Generation IV,Water,Unknown,64,66,68,81,76,50,405,45,Torrent,Unknown,Defiant,87.5,12.5,0.8,23,Water 1,Field,Unknown,Unknown,0,
#395,Empoleon,Generation IV,Water,Steel,84,86,88,111,101,60,530,45,Torrent,Unknown,Defiant,87.5,12.5,1.7,84.5,Water 1,Field,Unknown,Unknown,0,
#396,Starly,Generation IV,Normal,Flying,40,55,30,30,30,60,245,255,Keen Eye,Unknown,Reckless,50,50,0.3,2,Flying,Unknown,Unknown,Unknown,0,
#397,Staravia,Generation IV,Normal,Flying,55,75,50,40,40,80,340,120,Intimidate,Unknown,Reckless,50,50,0.6,15.5,Flying,Unknown,Unknown,Unknown,0,
#398,Staraptor,Generation IV,Normal,Flying,85,120,70,50,50,100,475,45,Intimidate,Unknown,Reckless,50,50,1.2,24.9,Flying,Unknown,Unknown,Unknown,0,
#399,Bidoof,Generation IV,Normal,Unknown,59,45,40,35,40,31,250,255,Simple,Unaware,Moody,50,50,0.5,20,Water 1,Field,Unknown,Unknown,0,
#400,Bibarel,Generation IV,Normal,Water,79,85,60,55,60,71,410,127,Simple,Unaware,Moody,50,50,1,31.5,Water 1,Field,Unknown,Unknown,0,
#401,Kricketot,Generation IV,Bug,Unknown,37,25,41,25,41,25,194,255,Shed Skin,Unknown,Run Away,50,50,0.3,2.2,Bug,Unknown,Unknown,Unknown,0,
#402,Kricketune,Generation IV,Bug,Unknown,77,85,51,55,51,65,384,45,Swarm,Unknown,Technician,50,50,1,25.5,Bug,Unknown,Unknown,Unknown,0,
#403,Shinx,Generation IV,Electric,Unknown,45,65,34,40,34,45,263,235,Rivalry,Intimidate,Guts,50,50,0.5,9.5,Field,Unknown,"105, 106","105, 106",0,
#404,Luxio,Generation IV,Electric,Unknown,60,85,49,60,49,60,363,120,Rivalry,Intimidate,Guts,50,50,0.9,30.5,Field,Unknown,"105, 106","105, 106",0,
#405,Luxray,Generation IV,Electric,Unknown,80,120,79,95,79,70,523,45,Rivalry,Intimidate,Guts,50,50,1.4,42,Field,Unknown,"105, 106","105, 106",0,
#406,Budew,Generation IV,Grass,Poison,40,30,35,50,70,55,280,255,Natural Cure,Poison Point,Leaf Guard,50,50,0.2,1.2,Undiscovered,Unknown,"26, 27, 58, 79","26, 27, 58, 79",0,
#407,Roserade,Generation IV,Grass,Poison,60,70,55,125,105,90,505,75,Natural Cure,Poison Point,Leaf Guard,50,50,0.9,14.5,Fairy,Grass,"58, 79, 145","58, 79, 145",0,
#408,Cranidos,Generation IV,Rock,Unknown,67,125,40,30,30,58,350,45,Mold Breaker,Unknown,Sheer Force,87.5,12.5,0.9,31.5,Monster,Unknown,Unknown,Unknown,0,
#409,Rampardos,Generation IV,Rock,Unknown,97,165,60,65,50,58,495,45,Mold Breaker,Unknown,Sheer Force,87.5,12.5,1.6,102.5,Monster,Unknown,Unknown,Unknown,0,
#410,Shieldon,Generation IV,Rock,Steel,30,42,118,42,88,30,350,45,Sturdy,Unknown,Soundproof,87.5,12.5,0.5,57,Monster,Unknown,Unknown,Unknown,0,
#411,Bastiodon,Generation IV,Rock,Steel,60,52,168,47,138,30,495,45,Sturdy,Unknown,Soundproof,87.5,12.5,1.3,149.5,Monster,Unknown,Unknown,Unknown,0,
#412,Burmy,Generation IV,Bug,Unknown,40,29,45,29,45,36,224,120,Shed Skin,Unknown,Overcoat,50,50,0.2,3.4,Bug,Unknown,Unknown,Unknown,0,
#413,Wormadam,Generation IV,Bug,Grass,60,59,85,79,105,36,424,45,Anticipation,Unknown,Overcoat,0,100,0.5,6.5,Bug,Unknown,Unknown,Unknown,0,
#413,Wormadams,Generation IV,Bug,Ground,60,79,105,59,85,36,424,45,Anticipation,Unknown,Overcoat,0,100,0.5,6.5,Bug,Unknown,Unknown,Unknown,0,
#413,Wormadamt,Generation IV,Bug,Steel,60,69,95,69,95,36,424,45,Anticipation,Unknown,Overcoat,0,100,0.5,6.5,Bug,Unknown,Unknown,Unknown,0,
#414,Mothim,Generation IV,Bug,Flying,70,94,50,94,50,66,424,45,Swarm,Unknown,Tinted Lens,100,0,0.9,23.3,Bug,Unknown,Unknown,Unknown,0,
#415,Combee,Generation IV,Bug,Flying,30,30,42,30,42,70,244,120,Honey Gather,Unknown,Hustle,87.5,12.5,0.3,5.5,Bug,Unknown,"5, 143, 144","5, 143, 144",0,
#416,Vespiquen,Generation IV,Bug,Flying,70,80,102,80,102,40,474,45,Pressure,Unknown,Unnerve,0,100,1.2,38.5,Bug,Unknown,"5, 143, 144","5, 143, 144",0,
#417,Pachirisu,Generation IV,Electric,Unknown,60,45,70,45,90,95,405,200,Run Away,Pickup,Volt Absorb,50,50,0.4,3.9,Field,Fairy,Unknown,Unknown,0,
#418,Buizel,Generation IV,Water,Unknown,55,65,35,60,30,85,330,190,Swift Swim,Unknown,Water Veil,50,50,0.7,29.5,Water 1,Field,Unknown,Unknown,0,
#419,Floatzel,Generation IV,Water,Unknown,85,105,55,85,50,115,495,75,Swift Swim,Unknown,Water Veil,50,50,1.1,33.5,Water 1,Field,Unknown,Unknown,0,
#420,Cherubi,Generation IV,Grass,Unknown,45,35,45,62,53,35,275,190,Chlorophyll,Unknown,Unknown,50,50,0.4,3.3,Fairy,Grass,"27, 59, 70, 151","27, 59, 70, 151",0,
#421,Cherrim,Generation IV,Grass,Unknown,70,60,70,87,78,85,450,75,Flower Gift,Unknown,Unknown,50,50,0.5,9.3,Fairy,Grass,"27, 59, 70","27, 59, 70",0,
#422,Shellos,Generation IV,Water,Unknown,76,48,48,57,62,34,325,190,Sticky Hold,Storm Drain,Sand Force,50,50,0.3,6.3,Water 1,Amorphous,"8, 42","8, 42",0,
#423,Gastrodon,Generation IV,Water,Ground,111,83,68,92,82,39,475,75,Sticky Hold,Storm Drain,Sand Force,50,50,0.9,29.9,Water 1,Amorphous,"8, 42, 52, 78, 93","8, 42, 52, 78, 93",0,
#424,Ambipom,Generation IV,Normal,Unknown,75,100,66,60,66,115,482,45,Technician,Pickup,Skill Link,50,50,1.2,20.3,Field,Unknown,Unknown,Unknown,0,
#425,Drifloon,Generation IV,Ghost,Flying,90,50,34,60,44,70,348,125,Aftermath,Unburden,Flare Boost,50,50,0.4,1.2,Amorphous,Unknown,"6, 32, 47, 127, 128","6, 32, 47, 127, 128",0,
#426,Drifblim,Generation IV,Ghost,Flying,150,80,44,90,54,80,498,60,Aftermath,Unburden,Flare Boost,50,50,1.2,15,Amorphous,Unknown,"6, 32, 47, 127, 128","6, 32, 47, 127, 128",0,
#427,Buneary,Generation IV,Normal,Unknown,55,66,44,44,56,85,350,190,Run Away,Klutz,Limber,50,50,0.4,5.5,Field,HumanUndiscoveredLike,"99, 100","99, 100",0,
#428,Lopunny,Generation IV,Normal,Unknown,65,76,84,54,96,105,480,60,Cute Charm,Klutz,Limber,50,50,1.2,33.3,Field,HumanUndiscoveredLike,"99, 100","99, 100",0,
#429,Mismagius,Generation IV,Ghost,Unknown,60,60,60,105,105,105,495,45,Levitate,Unknown,Unknown,50,50,0.9,4.4,Amorphous,Unknown,Unknown,Unknown,0,
